chromatin	start	end	width	strand	name	score	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr20	307445	308356	912	*	chr20.17	96.959	3' UTR	20	306215	310872	4658	1	6666	uc002wdh.4	1230	ENSG00000177732	SOX12	SRY-box 12
chr20	309410	309678	269	*	chr20.18	12.326872	3' UTR	20	306215	310872	4658	1	6666	uc002wdh.4	3195	ENSG00000177732	SOX12	SRY-box 12
chr20	310502	310739	238	*	chr20.19	19.800379	3' UTR	20	306215	310872	4658	1	6666	uc002wdh.4	4287	ENSG00000177732	SOX12	SRY-box 12
chr20	311195	311427	233	*	chr20.20	21.242933	Distal Intergenic	20	306215	310872	4658	1	6666	uc002wdh.4	4980	ENSG00000177732	SOX12	SRY-box 12
chr20	313118	313145	28	*	chr20.21	10.846006	Distal Intergenic	20	306215	310872	4658	1	6666	uc002wdh.4	6903	ENSG00000177732	SOX12	SRY-box 12
chr20	313290	313545	256	*	chr20.22	21.346474	Distal Intergenic	20	306215	310872	4658	1	6666	uc002wdh.4	7075	ENSG00000177732	SOX12	SRY-box 12
chr20	327605	327975	371	*	chr20.23	50.160313	Promoter	20	327370	335512	8143	1	80023	uc002wdi.4	235	ENSG00000125841	NRSN2	neurensin 2
chr20	328225	329058	834	*	chr20.24	90.628136	Promoter	20	327370	335512	8143	1	80023	uc002wdi.4	855	ENSG00000125841	NRSN2	neurensin 2
chr20	335100	335443	344	*	chr20.25	40.083145	3' UTR	20	327370	335512	8143	1	80023	uc002wdi.4	7730	ENSG00000125841	NRSN2	neurensin 2
chr20	342272	342506	235	*	chr20.26	21.051195	Distal Intergenic	20	327370	335512	8143	1	80023	uc002wdi.4	14902	ENSG00000125841	NRSN2	neurensin 2
chr20	361300	361949	650	*	chr20.27	30.77333	Promoter	20	361308	378203	16896	1	57761	uc002wdm.3	0	ENSG00000101255	TRIB3	tribbles pseudokinase 3
chr20	362416	362898	483	*	chr20.28	66.04897	Promoter	20	361941	378203	16263	1	57761	uc002wdn.3	475	ENSG00000101255	TRIB3	tribbles pseudokinase 3
chr20	377471	377747	277	*	chr20.29	11.6506195	3' UTR	20	388709	391408	2700	1	10616	uc002wdo.3	-10962	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	387914	389272	1359	*	chr20.30	95.7428	Promoter	20	388709	391408	2700	1	10616	uc002wdo.3	0	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	400252	400263	12	*	chr20.31	10.776225	Exon (uc010zpl.1/10616, exon 6 of 6)	20	388709	411610	22902	1	10616	uc010fzy.3	11543	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	400501	400772	272	*	chr20.32	13.534084	3' UTR	20	388709	411610	22902	1	10616	uc010fzy.3	11792	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	412006	412323	318	*	chr20.33	27.681135	Distal Intergenic	20	388709	411610	22902	1	10616	uc010fzy.3	23297	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	413919	414638	720	*	chr20.34	45.889084	Downstream (1-2kb)	20	388709	411610	22902	1	10616	uc010fzy.3	25210	ENSG00000125826	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
chr20	440356	440380	25	*	chr20.35	10.8314705	Intron (uc002wds.3/128637, intron 1 of 7)	20	416124	443187	27064	2	128637	uc002wds.3	2807	ENSG00000125875	TBC1D20	TBC1 domain family member 20
chr20	440627	440651	25	*	chr20.36	10.8314705	Intron (uc002wds.3/128637, intron 1 of 7)	20	416124	443187	27064	2	128637	uc002wds.3	2536	ENSG00000125875	TBC1D20	TBC1 domain family member 20
chr20	442340	443629	1290	*	chr20.37	61.475887	Promoter	20	416124	443187	27064	2	128637	uc002wds.3	0	ENSG00000125875	TBC1D20	TBC1 domain family member 20
chr20	460903	461157	255	*	chr20.38	15.177655	Downstream (2-3kb)	20	416124	443187	27064	2	128637	uc002wdv.3	-17716	ENSG00000125875	TBC1D20	TBC1 domain family member 20
chr20	523743	524784	1042	*	chr20.39	136.9404	Promoter	20	463338	524482	61145	2	1457	uc002wdw.1	0	ENSG00000101266	CSNK2A1	casein kinase 2 alpha 1
chr20	542401	542635	235	*	chr20.40	20.640024	Distal Intergenic	20	463338	524482	61145	2	1457	uc002wdy.1	-17919	ENSG00000101266	CSNK2A1	casein kinase 2 alpha 1
chr20	565133	565365	233	*	chr20.41	21.242933	Distal Intergenic	20	584637	590910	6274	2	6939	uc002wdz.3	25545	ENSG00000125878	TCF15	transcription factor 15
chr20	569978	570241	264	*	chr20.42	13.206527	Distal Intergenic	20	584637	590910	6274	2	6939	uc002wdz.3	20669	ENSG00000125878	TCF15	transcription factor 15
chr20	588000	588104	105	*	chr20.43	11.420495	Intron (uc002wdz.3/6939, intron 1 of 1)	20	584637	590910	6274	2	6939	uc002wdz.3	2806	ENSG00000125878	TCF15	transcription factor 15
chr20	588175	588279	105	*	chr20.44	11.420495	Intron (uc002wdz.3/6939, intron 1 of 1)	20	584637	590910	6274	2	6939	uc002wdz.3	2631	ENSG00000125878	TCF15	transcription factor 15
chr20	601501	601734	234	*	chr20.45	21.23603	Distal Intergenic	20	584637	590910	6274	2	6939	uc002wdz.3	-10591	ENSG00000125878	TCF15	transcription factor 15
chr20	626199	626518	320	*	chr20.46	27.447248	Downstream (<1kb)	20	627268	634014	6747	2	140809	uc002wea.4	7496	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	628238	628498	261	*	chr20.47	21.30995	3' UTR	20	627268	634014	6747	2	140809	uc002wea.4	5516	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	628625	628662	38	*	chr20.48	10.906809	3' UTR	20	627268	634014	6747	2	140809	uc002wea.4	5352	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	633508	634391	884	*	chr20.49	120.04953	Promoter	20	627268	634014	6747	2	140809	uc002wea.4	0	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	648131	648366	236	*	chr20.50	20.277267	Intron (uc002web.4/140809, intron 1 of 2)	20	627268	656823	29556	2	140809	uc002web.4	8457	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	653719	653959	241	*	chr20.51	18.556578	Intron (uc002web.4/140809, intron 1 of 2)	20	627268	656823	29556	2	140809	uc002web.4	2864	ENSG00000271303	SRXN1	sulfiredoxin 1
chr20	673222	673470	249	*	chr20.52	16.392506	Distal Intergenic	20	642240	656823	14584	2	85508	uc002wec.3	-16399	ENSG00000215397	SCRT2	scratch family transcriptional repressor 2
chr20	680710	680944	235	*	chr20.53	20.938179	Distal Intergenic	20	642240	656823	14584	2	85508	uc002wec.3	-23887	ENSG00000215397	SCRT2	scratch family transcriptional repressor 2
chr20	711847	712098	252	*	chr20.54	15.974703	Distal Intergenic	20	740724	749228	8505	2	113278	uc002wed.4	37130	ENSG00000101276	SLC52A3	solute carrier family 52 member 3
chr20	717743	717981	239	*	chr20.55	19.6097	Distal Intergenic	20	740724	749228	8505	2	113278	uc002wed.4	31247	ENSG00000101276	SLC52A3	solute carrier family 52 member 3
chr20	719765	719998	234	*	chr20.56	21.23603	Distal Intergenic	20	740724	749228	8505	2	113278	uc002wed.4	29230	ENSG00000101276	SLC52A3	solute carrier family 52 member 3
chr20	754010	754255	246	*	chr20.57	17.799448	Distal Intergenic	20	740725	749228	8504	2	113278	uc002wee.2	-4782	ENSG00000101276	SLC52A3	solute carrier family 52 member 3
chr20	796557	796802	246	*	chr20.58	18.990105	Distal Intergenic	20	814356	826922	12567	1	83541	uc002wef.1	-17554	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	813914	814647	734	*	chr20.59	110.17011	Promoter	20	814356	826922	12567	1	83541	uc002wef.1	0	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	824997	825948	952	*	chr20.60	44.3756	Promoter	20	825285	826922	1638	1	83541	uc002weh.1	0	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	826008	826093	86	*	chr20.61	11.259906	Promoter	20	825285	826922	1638	1	83541	uc002weh.1	723	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	827500	827861	362	*	chr20.62	37.085453	Distal Intergenic	20	825285	826922	1638	1	83541	uc002weh.1	2215	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	854104	854347	244	*	chr20.63	18.210587	Intron (uc002wei.3/51378, intron 8 of 8)	20	825285	826922	1638	1	83541	uc002weh.1	28819	ENSG00000125898	FAM110A	family with sequence similarity 110 member A
chr20	862083	862456	374	*	chr20.64	35.09942	Intron (uc002wei.3/51378, intron 4 of 8)	20	853297	896960	43664	2	51378	uc002wei.3	34504	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	872330	872839	510	*	chr20.65	21.934584	Intron (uc002wei.3/51378, intron 1 of 8)	20	853297	896960	43664	2	51378	uc002wei.3	24121	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	886660	886908	249	*	chr20.66	16.742937	Intron (uc002wei.3/51378, intron 1 of 8)	20	853297	896960	43664	2	51378	uc002wei.3	10052	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	893294	893544	251	*	chr20.67	16.154915	Intron (uc002wei.3/51378, intron 1 of 8)	20	853297	896960	43664	2	51378	uc002wei.3	3416	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	935784	936020	237	*	chr20.68	19.76329	Distal Intergenic	20	853297	896960	43664	2	51378	uc010zpn.2	-38824	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	937107	937474	368	*	chr20.69	50.80576	Downstream (1-2kb)	20	853297	896960	43664	2	51378	uc010zpn.2	-40147	ENSG00000101280	ANGPT4	angiopoietin 4
chr20	954433	954670	238	*	chr20.70	19.570204	Intron (uc002wej.3/343637, intron 1 of 4)	20	939096	982907	43812	2	343637	uc002wej.3	28237	ENSG00000101282	RSPO4	R-spondin 4
chr20	966305	966538	234	*	chr20.71	21.07736	Intron (uc002wej.3/343637, intron 1 of 4)	20	939096	982907	43812	2	343637	uc002wej.3	16369	ENSG00000101282	RSPO4	R-spondin 4
chr20	986285	986688	404	*	chr20.72	57.864727	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-3378	ENSG00000101282	RSPO4	R-spondin 4
chr20	991315	991752	438	*	chr20.73	30.751781	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-8408	ENSG00000101282	RSPO4	R-spondin 4
chr20	991846	991901	56	*	chr20.74	11.035901	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-8939	ENSG00000101282	RSPO4	R-spondin 4
chr20	993203	993208	6	*	chr20.75	10.763564	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-10296	ENSG00000101282	RSPO4	R-spondin 4
chr20	993433	993689	257	*	chr20.76	16.814537	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-10526	ENSG00000101282	RSPO4	R-spondin 4
chr20	996057	996289	233	*	chr20.77	21.157074	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-13150	ENSG00000101282	RSPO4	R-spondin 4
chr20	997260	997500	241	*	chr20.78	18.65239	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-14353	ENSG00000101282	RSPO4	R-spondin 4
chr20	1010439	1010693	255	*	chr20.79	15.301859	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-27532	ENSG00000101282	RSPO4	R-spondin 4
chr20	1025166	1025398	233	*	chr20.80	21.242933	Distal Intergenic	20	939096	982907	43812	2	343637	uc002wek.3	-42259	ENSG00000101282	RSPO4	R-spondin 4
chr20	1050306	1050616	311	*	chr20.81	28.73979	Distal Intergenic	20	1093906	1147970	54065	1	9491	uc010zpo.2	-43290	ENSG00000125818	PSMF1	proteasome inhibitor subunit 1
chr20	1056343	1056576	234	*	chr20.82	21.210564	Distal Intergenic	20	1093906	1147970	54065	1	9491	uc010zpo.2	-37330	ENSG00000125818	PSMF1	proteasome inhibitor subunit 1
chr20	1098868	1099563	696	*	chr20.83	150.91989	Promoter	20	1099240	1147970	48731	1	9491	uc010zpp.2	0	ENSG00000125818	PSMF1	proteasome inhibitor subunit 1
chr20	1157320	1157566	247	*	chr20.84	17.30896	Distal Intergenic	20	1161215	1165017	3803	2	55321	uc010gaa.1	7451	ENSG00000125895	TMEM74B	transmembrane protein 74B
chr20	1206361	1206870	510	*	chr20.85	21.776213	Promoter	20	1206764	1235145	28382	1	642636	uc010gab.1	0	ENSG00000244588	RAD21L1	RAD21 cohesin complex component like 1
chr20	1280065	1280415	351	*	chr20.86	23.149368	Intron (uc002wes.3/9751, intron 4 of 5)	20	1290555	1294317	3763	2	27111	uc002weu.4	13902	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1290152	1290427	276	*	chr20.87	11.740989	Downstream (<1kb)	20	1290555	1294317	3763	2	27111	uc002weu.4	3890	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1299254	1299492	239	*	chr20.88	19.530445	Intron (uc021vzn.1/27111, intron 3 of 8)	20	1290555	1294317	3763	2	27111	uc002weu.4	-4937	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1301812	1302062	251	*	chr20.89	16.154915	Intron (uc021vzn.1/27111, intron 1 of 8)	20	1305987	1359379	53393	1	100507495	uc002wew.3	-3925	ENSG00000234684	SDCBP2-AS1	SDCBP2 antisense RNA 1
chr20	1304105	1304344	240	*	chr20.90	18.885647	Intron (uc021vzn.1/27111, intron 1 of 8)	20	1305987	1359379	53393	1	100507495	uc002wew.3	-1643	ENSG00000234684	SDCBP2-AS1	SDCBP2 antisense RNA 1
chr20	1305747	1306222	476	*	chr20.91	72.58424	Promoter	20	1305987	1359379	53393	1	100507495	uc002wew.3	0	ENSG00000234684	SDCBP2-AS1	SDCBP2 antisense RNA 1
chr20	1306405	1306759	355	*	chr20.92	22.494123	Promoter	20	1290555	1306513	15959	2	27111	uc021vzn.1	0	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1310761	1311061	301	*	chr20.93	30.745226	Promoter	20	1293346	1309879	16534	2	27111	uc010zpq.2	-882	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1315505	1315744	240	*	chr20.94	18.793337	Intron (uc002wew.3/100507495, intron 1 of 3)	20	1293346	1309879	16534	2	27111	uc010zpq.2	-5626	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1317447	1317697	251	*	chr20.95	16.035007	Intron (uc002wew.3/100507495, intron 1 of 3)	20	1293346	1309879	16534	2	27111	uc010zpq.2	-7568	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1319158	1319415	258	*	chr20.96	14.739167	Intron (uc002wew.3/100507495, intron 1 of 3)	20	1293346	1309879	16534	2	27111	uc010zpq.2	-9279	ENSG00000125775	SDCBP2	syndecan binding protein 2
chr20	1356658	1356891	234	*	chr20.97	20.955467	Intron (uc002wew.3/100507495, intron 3 of 3)	20	1290555	1373816	83262	2	100528031	uc021vzo.1	16925	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1369384	1369744	361	*	chr20.98	52.68862	Intron (uc021vzo.1/100528031, intron 2 of 9)	20	1290555	1373816	83262	2	100528031	uc021vzo.1	4072	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1369936	1370172	237	*	chr20.99	20.050282	Intron (uc021vzo.1/100528031, intron 2 of 9)	20	1290555	1373816	83262	2	100528031	uc021vzo.1	3644	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1370498	1370735	238	*	chr20.100	19.800388	Intron (uc021vzo.1/100528031, intron 2 of 9)	20	1290555	1373816	83262	2	100528031	uc021vzo.1	3081	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1371568	1371945	378	*	chr20.101	21.95728	Intron (uc021vzo.1/100528031, intron 2 of 9)	20	1290555	1373816	83262	2	100528031	uc021vzo.1	1871	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1373585	1374025	441	*	chr20.102	76.27767	Promoter	20	1290555	1373816	83262	2	100528031	uc021vzo.1	0	ENSG00000125775	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)
chr20	1404469	1404703	235	*	chr20.103	20.972755	Distal Intergenic	20	1352720	1373816	21097	2	2280	uc010gaf.2	-30653	ENSG00000088832	FKBP1A	FK506 binding protein 1A
chr20	1415426	1416088	663	*	chr20.104	29.676878	Distal Intergenic	20	1422807	1448337	25531	2	55968	uc002wfc.3	32249	ENSG00000088833	NSFL1C	NSFL1 cofactor
chr20	1443603	1443998	396	*	chr20.105	21.164408	Intron (uc002wfc.3/55968, intron 2 of 8)	20	1422807	1448337	25531	2	55968	uc002wfc.3	4339	ENSG00000088833	NSFL1C	NSFL1 cofactor
chr20	1446765	1447845	1081	*	chr20.106	82.35826	Promoter	20	1422807	1448337	25531	2	55968	uc002wfc.3	492	ENSG00000088833	NSFL1C	NSFL1 cofactor
chr20	1450857	1451159	303	*	chr20.107	31.210297	Distal Intergenic	20	1422807	1448337	25531	2	55968	uc031rsc.1	-2520	ENSG00000088833	NSFL1C	NSFL1 cofactor
chr20	1484331	1484706	376	*	chr20.108	49.260353	Distal Intergenic	20	1457285	1472233	14949	2	284759	uc010zpr.1	-12098	ENSG00000196209	SIRPB2	signal regulatory protein beta 2
chr20	1513825	1514100	276	*	chr20.109	11.740989	Downstream (<1kb)	20	1514897	1538343	23447	2	128646	uc002wfi.3	24243	ENSG00000125900	SIRPD	signal regulatory protein delta
chr20	1516095	1516846	752	*	chr20.110	52.24438	Intron (uc002wfi.3/128646, intron 3 of 3)	20	1514897	1538343	23447	2	128646	uc002wfi.3	21497	ENSG00000125900	SIRPD	signal regulatory protein delta
chr20	1518187	1518554	368	*	chr20.111	21.539192	Intron (uc002wfi.3/128646, intron 2 of 3)	20	1514897	1538343	23447	2	128646	uc002wfi.3	19789	ENSG00000125900	SIRPD	signal regulatory protein delta
chr20	1530118	1530366	249	*	chr20.112	16.857983	Intron (uc002wfi.3/128646, intron 2 of 3)	20	1514897	1538343	23447	2	128646	uc002wfi.3	7977	ENSG00000125900	SIRPD	signal regulatory protein delta
chr20	1597425	1597659	235	*	chr20.113	20.53692	Intron (uc002wfk.4/10326, intron 1 of 3)	20	1545029	1600689	55661	2	10326	uc002wfk.4	3030	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1600660	1600756	97	*	chr20.114	11.376592	Promoter	20	1545029	1600689	55661	2	10326	uc002wfk.4	0	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1600843	1600939	97	*	chr20.115	11.376592	Promoter	20	1577986	1600689	22704	2	10326	uc002wfl.4	-154	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1603114	1603365	252	*	chr20.116	15.853758	Distal Intergenic	20	1577986	1600689	22704	2	10326	uc002wfl.4	-2425	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1618313	1618392	80	*	chr20.117	11.2586155	Intron (uc002wfp.1/uc002wfp.1, intron 3 of 3)	20	1577986	1600689	22704	2	10326	uc002wfl.4	-17624	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1618515	1618594	80	*	chr20.118	11.2586155	Intron (uc002wfp.1/uc002wfp.1, intron 3 of 3)	20	1577986	1600689	22704	2	10326	uc002wfl.4	-17826	ENSG00000101307	SIRPB1	signal regulatory protein beta 1
chr20	1628808	1629051	244	*	chr20.119	17.690077	Exon (uc002wfp.1/uc002wfp.1, exon 4 of 4)	20	1609798	1638425	28628	2	55423	uc002wfm.1	9374	ENSG00000089012	SIRPG	signal regulatory protein gamma
chr20	1641043	1641292	250	*	chr20.120	16.568537	Distal Intergenic	20	1609798	1638425	28628	2	55423	uc002wfo.1	-2618	ENSG00000089012	SIRPG	signal regulatory protein gamma
chr20	1645602	1646032	431	*	chr20.121	17.918737	Distal Intergenic	20	1609798	1638425	28628	2	55423	uc002wfo.1	-7177	ENSG00000089012	SIRPG	signal regulatory protein gamma
chr20	1657347	1657607	261	*	chr20.122	13.784925	Distal Intergenic	20	1609798	1638425	28628	2	55423	uc002wfo.1	-18922	ENSG00000089012	SIRPG	signal regulatory protein gamma
chr20	1690803	1691039	237	*	chr20.123	19.837503	Distal Intergenic	20	1609798	1638425	28628	2	55423	uc002wfo.1	-52378	ENSG00000089012	SIRPG	signal regulatory protein gamma
chr20	1702853	1703282	430	*	chr20.124	32.093006	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	57110	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1715122	1715149	28	*	chr20.125	10.844473	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	45243	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1715390	1715417	28	*	chr20.126	10.844473	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	44975	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1757473	1757706	234	*	chr20.127	21.198715	Intron (uc021vzr.1/100289473, intron 2 of 3)	20	1754011	1760392	6382	2	100289473	uc021vzr.1	2686	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1757909	1758208	300	*	chr20.128	31.01696	Intron (uc021vzr.1/100289473, intron 2 of 3)	20	1754011	1760392	6382	2	100289473	uc021vzr.1	2184	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1760910	1761144	235	*	chr20.129	20.639862	Promoter	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-518	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1766357	1766629	273	*	chr20.130	11.83921	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-5965	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1783033	1783395	363	*	chr20.131	22.218723	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-22641	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1784317	1784574	258	*	chr20.132	14.48638	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-23925	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1804268	1804514	247	*	chr20.133	17.30896	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-43876	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1816386	1816632	247	*	chr20.134	16.972158	Distal Intergenic	20	1754011	1760392	6382	2	100289473	uc021vzr.1	-55994	ENSG00000232528	LOC100289473	cytoskeleton associated protein 2-like pseudogene
chr20	1825398	1825741	344	*	chr20.135	40.160847	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-49072	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1830593	1830948	356	*	chr20.136	22.741089	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-43865	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1831124	1831365	242	*	chr20.137	19.957714	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-43448	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1851540	1851924	385	*	chr20.138	50.135574	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-22889	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1852417	1852763	347	*	chr20.139	24.046648	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-22050	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1859803	1860040	238	*	chr20.140	19.648504	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-14773	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1867823	1868086	264	*	chr20.141	13.206527	Distal Intergenic	20	1874813	1920540	45728	1	140885	uc002wfq.3	-6727	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1875333	1875747	415	*	chr20.142	18.452248	Promoter	20	1875425	1920540	45116	1	140885	uc002wfr.3	0	ENSG00000198053	SIRPA	signal regulatory protein alpha
chr20	1876241	1876527	287	*	chr20.143	12.636896	Promoter	20	1876085	1920540	44456	1	140885	uc002wft.3	156	ENSG00000198053	SIRPA	signal regulatory protein alpha
